modality	feature_type	atlas/metric	task	balanced_data	accuracy	auc	balanced_accuracy	npv	ppv	sensitivity	specificity	
DWI	voxel_based	WM_GM_FA	CN_vs_pMCI	random downsampling	0.6108	0.5548	0.6108000000000001	0.6435857142857144	0.6111253968253968	0.6615999999999999	0.56	
DWI	voxel_based	WM_GM_MD	CN_vs_pMCI	random downsampling	0.62	0.48688	0.62	0.6758761904761904	0.6061936507936507	0.7432000000000001	0.4968	
DWI	ROI_based	JHUDTI81_FA	CN_vs_pMCI	random downsampling	0.5296	0.45448	0.5296	0.5209793650793652	0.5380349206349205	0.5464000000000001	0.5127999999999999	
DWI	ROI_based	JHUDTI81_MD	CN_vs_pMCI	random downsampling	0.552	0.39136000000000004	0.552	0.4923333333333333	0.532984126984127	0.9415999999999999	0.1624	
DWI	ROI_based	HUTracts25_FA	CN_vs_pMCI	random downsampling	0.5732	0.40288	0.5732	0.5782857142857142	0.593547619047619	0.5304	0.616	
DWI	ROI_based	HUTracts25_MD	CN_vs_pMCI	random downsampling	0.6416000000000001	0.36616000000000004	0.6416000000000001	0.6745111111111112	0.6422095238095237	0.7432000000000001	0.54	
DWI	voxel_based	GM_FA	sMCI_vs_pMCI	random downsampling	0.4736	0.466	0.4736	0.4620730158730159	0.4692476190476191	0.45439999999999997	0.49279999999999996	
DWI	voxel_based	GM_MD	sMCI_vs_pMCI	random downsampling	0.5104	0.47391999999999995	0.5104	0.4987555555555555	0.5237873015873015	0.41120000000000007	0.6095999999999999	
DWI	voxel_based	WM_FA	sMCI_vs_pMCI	random downsampling	0.43639999999999995	0.5408	0.4364	0.4223063492063492	0.43147301587301584	0.4328	0.44	
DWI	voxel_based	WM_MD	sMCI_vs_pMCI	random downsampling	0.48479999999999995	0.5026400000000001	0.48479999999999995	0.4621920634920635	0.47035873015873014	0.3856	0.584	
DWI	voxel_based	WM_GM_FA	sMCI_vs_pMCI	random downsampling	0.444	0.5053599999999999	0.444	0.43041746031746037	0.4325047619047619	0.41840000000000005	0.4696	
DWI	voxel_based	WM_GM_MD	sMCI_vs_pMCI	random downsampling	0.5111999999999999	0.47368	0.5112000000000001	0.4936555555555555	0.5329015873015872	0.4192000000000001	0.6032000000000001	
DWI	ROI_based	JHUDTI81_FA	sMCI_vs_pMCI	random downsampling	0.47479999999999994	0.5464	0.47479999999999994	0.4594396825396826	0.4760349206349206	0.4128	0.5367999999999999	
DWI	ROI_based	JHUDTI81_MD	sMCI_vs_pMCI	random downsampling	0.4784	0.52328	0.47840000000000005	0.4587555555555556	0.4263825396825397	0.5136000000000001	0.44320000000000004	
DWI	ROI_based	HUTracts25_FA	sMCI_vs_pMCI	random downsampling	0.484	0.5299200000000001	0.484	0.47759682539682535	0.4779857142857143	0.4680000000000001	0.5000000000000001	
DWI	ROI_based	HUTracts25_MD	sMCI_vs_pMCI	random downsampling	0.5336000000000001	0.46168	0.5336000000000001	0.5344968253968254	0.5278380952380952	0.584	0.4832	
